Week,30 yr FRM,Year
6/8/1984,14.33,1984
6/15/1984,14.47,1984
6/22/1984,14.49,1984
6/29/1984,14.50,1984
7/6/1984,14.66,1984
7/13/1984,14.68,1984
7/20/1984,14.66,1984
7/27/1984,14.67,1984
8/3/1984,14.68,1984
8/10/1984,14.54,1984
8/17/1984,14.39,1984
8/24/1984,14.36,1984
8/31/1984,14.38,1984
9/7/1984,14.42,1984
9/14/1984,14.43,1984
9/21/1984,14.29,1984
9/28/1984,14.26,1984
10/5/1984,14.18,1984
10/12/1984,14.19,1984
10/19/1984,14.10,1984
10/26/1984,14.05,1984
11/2/1984,13.85,1984
11/9/1984,13.74,1984
11/16/1984,13.63,1984
11/23/1984,13.55,1984
11/30/1984,13.42,1984
12/7/1984,13.20,1984
12/14/1984,13.20,1984
12/21/1984,13.18,1984
12/28/1984,13.14,1984
1/4/1985,13.10,1985
1/11/1985,13.12,1985
1/18/1985,13.12,1985
1/25/1985,12.96,1985
2/1/1985,12.93,1985
2/8/1985,12.91,1985
2/15/1985,12.90,1985
2/22/1985,12.94,1985
3/1/1985,13.02,1985
3/8/1985,13.10,1985
3/15/1985,13.20,1985
3/22/1985,13.24,1985
3/29/1985,13.29,1985
4/5/1985,13.27,1985
4/12/1985,13.23,1985
4/19/1985,13.16,1985
4/26/1985,13.12,1985
5/3/1985,13.07,1985
5/10/1985,13.02,1985
5/17/1985,12.94,1985
5/24/1985,12.83,1985
5/31/1985,12.71,1985
6/7/1985,12.39,1985
6/14/1985,12.27,1985
6/21/1985,12.05,1985
6/28/1985,12.15,1985
7/5/1985,12.13,1985
7/12/1985,12.03,1985
7/19/1985,11.94,1985
7/26/1985,12.03,1985
8/2/1985,12.17,1985
8/9/1985,12.23,1985
8/16/1985,12.24,1985
8/23/1985,12.18,1985
8/30/1985,12.11,1985
9/6/1985,12.15,1985
9/13/1985,12.24,1985
9/20/1985,12.21,1985
9/27/1985,12.17,1985
10/4/1985,12.17,1985
10/11/1985,12.17,1985
10/18/1985,12.13,1985
10/25/1985,12.07,1985
11/1/1985,12.01,1985
11/8/1985,11.90,1985
11/15/1985,11.79,1985
11/22/1985,11.64,1985
11/29/1985,11.58,1985
